TransactionAmount,TransactionDate,TransactionType,Location,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionAmount_Bin,CustomerAge_Bin,Cluster,Target
14.089999999999975,680.0,1.0,36.0,14.0,0.0,70.0,0.0,81.0,1.0,5112.21,105.0,1,1,0,0
376.24,1178.0,1.0,15.0,51.0,0.0,68.0,0.0,141.0,1.0,13758.91,192.0,0,1,2,2
126.29000000000002,1262.0,1.0,23.0,8.0,2.0,19.0,3.0,56.0,1.0,1122.35,41.0,2,2,2,2
184.5,818.0,1.0,33.0,1.0,2.0,26.0,3.0,25.0,1.0,8569.06,163.0,2,2,0,0
13.449999999999989,1939.0,1.0,1.0,90.0,2.0,45.0,3.0,198.0,1.0,7429.4,16.0,1,0,1,1
92.15,635.0,1.0,28.0,53.0,0.0,18.0,3.0,172.0,1.0,781.6800000000003,13.0,1,2,0,0
7.079999999999984,306.0,1.0,39.0,18.0,0.0,37.0,0.0,139.0,1.0,13316.71,226.0,1,0,0,0
171.42,837.0,1.0,16.0,19.0,1.0,67.0,2.0,291.0,1.0,2796.24,271.0,2,1,2,2
106.23000000000002,557.0,1.0,11.0,34.0,1.0,51.0,1.0,86.0,1.0,9095.14,290.0,1,0,0,0
815.96,610.0,1.0,26.0,6.0,0.0,55.0,0.0,120.0,1.0,1021.8800000000006,9.0,0,0,0,0
17.779999999999973,516.0,1.0,0.0,72.0,2.0,52.0,1.0,59.0,1.0,7599.52,22.0,1,0,0,0
190.02,234.0,1.0,22.0,29.0,2.0,21.0,3.0,173.0,1.0,1528.81,49.0,2,2,0,0
494.52,1037.0,1.0,23.0,56.0,1.0,24.0,3.0,111.0,1.0,1620.02,135.0,0,2,2,2
781.76,2173.0,1.0,22.0,24.0,0.0,26.0,3.0,123.0,1.0,189.6899999999996,43.0,0,2,1,1
166.99,283.0,1.0,21.0,16.0,2.0,18.0,3.0,134.0,1.0,299.9300000000003,226.0,2,2,0,0
465.45,2354.0,1.0,10.0,24.0,0.0,36.0,1.0,129.0,1.0,3465.54,355.0,0,0,1,1
555.8,2031.0,1.0,2.0,47.0,1.0,19.0,3.0,158.0,1.0,1131.2600000000002,72.0,0,2,1,1
492.93,2367.0,1.0,8.0,58.0,2.0,39.0,1.0,234.0,1.0,5109.97,327.0,0,0,1,1
18.680000000000007,353.0,1.0,0.0,53.0,1.0,59.0,2.0,106.0,1.0,7948.37,337.0,1,1,0,0
